artist,song,duration_s,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,country,latin,Folk/Acoustic,blues,classical,pop,easy listening,World/Traditional,hip hop,Dance/Electronic,metal,R&B,jazz,rock
JAY-Z,I Just Wanna Love U (Give It 2 Me),227.866,1,2000,0.59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,hip hop,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257.36,0,1999,0.59,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Baha Men,Who Let The Dogs Out,198.4,0,2000,0.65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,R&B,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243.733,1,1999,0.63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
LeAnn Rimes,Can't Fight The Moonlight,215.506,0,2001,0.65,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,"pop, country",1,0,0,0,0,1,0,0,0,0,0,0,0,0
DJ Ötzi,Hey Baby (Radio Mix),219.24,0,2010,0.58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic",0,0,0,0,0,1,1,0,0,1,0,0,0,0
P!nk,Most Girls,298.96,0,2000,0.52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Craig David,Fill Me In,257.2,0,2000,0.6,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Christina Aguilera,I Turn to You,273.706,0,1999,0.61,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Madonna,American Pie,273.533,0,2000,0.58,0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Red Hot Chili Peppers,Otherside,255.373,0,1999,0.78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sammie,I Like It,251.04,0,2000,0.55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Craig David,7 Days,235.133,0,2000,0.7,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Santana,Maria Maria (feat. The Product G&B),261.973,0,1999,0.66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin",0,1,0,1,0,0,0,0,0,0,0,0,0,1
Kandi,Don't Think I'm Not,243.533,0,2000,0.55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
P!nk,There You Go,202.8,0,2000,0.55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0.0,0.0452,0.668,107.908,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vengaboys,Shalala Lala,214.819,0,2000,0.58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ronan Keating,Life Is A Rollercoaster,234.826,0,2000,0.59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock",0,0,0,0,0,1,0,0,0,0,0,0,0,1
Madison Avenue,Don't Call Me Baby,228.14,0,1999,0.56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Destiny's Child,"Jumpin', Jumpin'",230.2,0,1999,0.7,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Céline Dion,That's the Way It Is,241.373,0,1999,0.64,0.634,0.886,9,-5.424,1,0.0434,0.154,0.0,0.118,0.577,93.04,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3 Doors Down,Kryptonite,233.933,0,2000,0.78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,"pop, rock, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
Carl Thomas,I Wish,226.76,0,2000,0.52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Mystikal,Shake Ya Ass,256.973,1,2000,0.57,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fuel,Hemorrhage (In My Hands),236.866,0,2000,0.49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
Donell Jones,Where I Wanna Be,253.626,0,1999,0.57,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Savage Garden,Crash and Burn,281.466,0,1999,0.54,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Westlife,My Love,231.76,0,2000,0.68,0.491,0.593,0,-5.975,1,0.0255,0.098,0.0,0.257,0.328,144.142,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
All Saints,Pure Shores,268.746,0,2000,0.62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Destiny's Child,"Independent Women, Pt. 1",221.133,0,2001,0.65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
*NSYNC,It's Gonna Be Me,191.04,0,2000,0.6,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Erykah Badu,Bag Lady,348.893,0,2000,0.54,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181,"hip hop, R&B",0,0,0,0,0,0,0,0,1,0,0,1,0,0
Marc Anthony,You Sang To Me,347.106,0,1999,0.56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,"pop, latin",0,1,0,0,0,1,0,0,0,0,0,0,0,0
Matchbox Twenty,Bent,256.133,0,2000,0.54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,"pop, rock",0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gabrielle,Rise,219.093,0,2001,0.6,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Backstreet Boys,Shape of My Heart,230.093,0,2000,0.7,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Creed,With Arms Wide Open,274.8,0,1999,0.64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
The Corrs,Breathless,207.506,0,2000,0.68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,"pop, Folk/Acoustic",0,0,1,0,0,1,0,0,0,0,0,0,0,0
Joe,I Wanna Know,296.693,0,2000,0.65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Wheatus,Teenage Dirtbag,241.666,1,1999,0.71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203.333,0,1999,0.64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Creed,Higher,316.733,0,1999,0.69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,"pop, rock, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
Britney Spears,Lucky,206.226,0,2000,0.65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nelly,Country Grammar (Hot Shit),287.0,1,2000,0.68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Shaggy,It Wasn't Me,227.6,0,2000,0.76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Destiny's Child,Survivor,254.026,0,2001,0.7,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Eminem,Stan,404.106,1,2000,0.83,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip hop,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kylie Minogue,Can't Get You out of My Head,230.64,0,2001,0.73,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,"pop, Dance/Electronic",0,0,0,0,0,1,0,0,0,1,0,0,0,0
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264.893,0,2001,0.68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nelly Furtado,I'm Like A Bird,243.16,0,2000,0.01,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,"hip hop, pop, latin",0,1,0,0,0,1,0,0,1,0,0,0,0,0
Shakira,"Whenever, Wherever",196.16,0,2001,0.74,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,"pop, latin",0,1,0,0,0,1,0,0,0,0,0,0,0,0
Jimmy Eat World,The Middle,165.853,0,2001,0.78,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,"rock, pop",0,0,0,0,0,1,0,0,0,0,0,0,0,1
Train,Drops of Jupiter (Tell Me),259.933,0,2001,0.77,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Geri Halliwell,It's Raining Men,254.64,0,2001,0.62,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blu Cantrell,Hit 'Em Up Style (Oops!),250.706,0,2001,0.71,0.667,0.773,5,-4.983,0,0.0586,0.201,0.0,0.404,0.667,89.976,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Britney Spears,I'm a Slave 4 U,203.6,0,2001,0.69,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kylie Minogue,In Your Eyes,197.826,0,2001,0.62,0.689,0.894,6,-6.342,0,0.0672,0.133,4.72e-05,0.0681,0.709,123.971,"pop, Dance/Electronic",0,0,0,0,0,1,0,0,0,1,0,0,0,0
Missy Elliott,One Minute Man (feat. Ludacris),252.986,1,2001,0.57,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97e-06,0.152,0.57,93.839,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Mary J. Blige,Family Affair,265.866,0,2001,0.76,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Faithless,We Come 1 - Radio Edit,222.435,0,2015,0.53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic",0,0,0,0,0,1,0,0,0,1,0,0,0,0
Limp Bizkit,Rollin' (Air Raid Vehicle),213.76,1,2000,0.73,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,metal,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lasgo,Something,220.973,0,2001,0.65,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93e-05,0.11,0.38,140.01,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
iio,Rapture (feat.Nadia Ali),253.586,0,2006,0.54,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Emma Bunton,What Took You So Long?,241.0,0,2001,0.54,0.668,0.772,9,-5.4,0,0.0307,0.123,0.0,0.341,0.911,118.011,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,It's Over Now,264.933,0,2001,0.57,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Blue,All Rise,223.546,0,2001,0.63,0.721,0.737,5,-2.734,0,0.0324,0.121,0.0,0.165,0.931,97.996,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jessica Simpson,Irresistible,194.026,0,2001,0.43,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84e-05,0.0552,0.669,93.013,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Crazy Town,Butterfly,216.733,0,1999,0.71,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Michael Jackson,You Rock My World,337.733,0,2001,0.64,0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95.0,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Eve,Let Me Blow Ya Mind,230.133,1,2001,0.73,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Brandy,Another Day in Paradise - R&B-Version,271.626,0,2002,0.5,0.7,0.787,6,-5.176,0,0.0327,0.00666,3.68e-05,0.0724,0.556,102.043,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Nickelback,How You Remind Me,223.84,0,2001,0.78,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
